timestamp,open,high,low,close
2019-06-20,0.8914,0.8921,0.8910,0.8912
2019-06-19,0.8930,0.8930,0.8924,0.8926
2019-06-18,0.8908,0.8941,0.8892,0.8930
2019-06-17,0.8914,0.8922,0.8890,0.8909
2019-06-16,0.8913,0.8921,0.8903,0.8914
2019-06-14,0.8864,0.8924,0.8856,0.8919
2019-06-13,0.8853,0.8870,0.8844,0.8864
2019-06-12,0.8825,0.8860,0.8814,0.8853
2019-06-11,0.8835,0.8844,0.8816,0.8825
2019-06-10,0.8834,0.8854,0.8826,0.8836
2019-06-09,0.8823,0.8846,0.8823,0.8832
2019-06-07,0.8865,0.8885,0.8809,0.8818
2019-06-06,0.8904,0.8908,0.8841,0.8865
2019-06-05,0.8884,0.8910,0.8844,0.8903
2019-06-04,0.8890,0.8904,0.8866,0.8884
2019-06-03,0.8948,0.8956,0.8877,0.8890
2019-06-02,0.8953,0.8967,0.8947,0.8948
2019-05-31,0.8980,0.8986,0.8943,0.8949
2019-05-30,0.8976,0.8993,0.8970,0.8980
2019-05-29,0.8954,0.8987,0.8946,0.8976
2019-05-28,0.8932,0.8958,0.8928,0.8954
2019-05-27,0.8918,0.8935,0.8913,0.8932
2019-05-26,0.8936,0.8936,0.8909,0.8918
2019-05-24,0.8939,0.8943,0.8915,0.8921
2019-05-23,0.8961,0.8999,0.8935,0.8939
2019-05-22,0.8955,0.8967,0.8943,0.8961
2019-05-21,0.8951,0.8972,0.8940,0.8955
2019-05-20,0.8956,0.8965,0.8944,0.8951
2019-05-19,0.8977,0.8977,0.8953,0.8955
2019-05-17,0.8947,0.8962,0.8939,0.8959
2019-05-16,0.8921,0.8953,0.8907,0.8947
2019-05-15,0.8920,0.8942,0.8908,0.8921
2019-05-14,0.8901,0.8925,0.8890,0.8920
2019-05-13,0.8898,0.8912,0.8876,0.8901
2019-05-12,0.8903,0.8915,0.8895,0.8898
2019-05-10,0.8911,0.8912,0.8885,0.8901
2019-05-09,0.8928,0.8947,0.8886,0.8912
2019-05-08,0.8932,0.8940,0.8916,0.8928
2019-05-07,0.8927,0.8952,0.8913,0.8932
2019-05-06,0.8931,0.8942,0.8919,0.8927
2019-05-05,0.8945,0.8960,0.8926,0.8930
2019-05-03,0.8945,0.8973,0.8922,0.8926
2019-05-02,0.8923,0.8949,0.8911,0.8946
2019-05-01,0.8917,0.8935,0.8876,0.8923
2019-04-30,0.8939,0.8946,0.8904,0.8917
2019-04-29,0.8966,0.8970,0.8935,0.8939
2019-04-28,0.8963,0.8970,0.8961,0.8966
2019-04-26,0.8976,0.8987,0.8946,0.8964
2019-04-25,0.8960,0.8990,0.8957,0.8976
2019-04-24,0.8909,0.8973,0.8906,0.8960
2019-04-23,0.8879,0.8932,0.8876,0.8909
2019-04-22,0.8892,0.8897,0.8876,0.8879
2019-04-21,0.8891,0.8896,0.8888,0.8892
2019-04-19,0.8897,0.8900,0.8885,0.8891
2019-04-18,0.8848,0.8908,0.8844,0.8897
2019-04-17,0.8862,0.8862,0.8829,0.8848
2019-04-16,0.8846,0.8864,0.8836,0.8862
2019-04-15,0.8844,0.8850,0.8830,0.8845
2019-04-14,0.8847,0.8853,0.8842,0.8843
2019-04-12,0.8880,0.8880,0.8829,0.8849
2019-04-11,0.8863,0.8889,0.8857,0.8879
2019-04-10,0.8873,0.8902,0.8858,0.8865
2019-04-09,0.8881,0.8882,0.8859,0.8873
2019-04-08,0.8911,0.8914,0.8867,0.8881
2019-04-07,0.8916,0.8920,0.8908,0.8912
2019-04-05,0.8909,0.8917,0.8893,0.8914
2019-04-04,0.8893,0.8919,0.8886,0.8909
2019-04-03,0.8922,0.8925,0.8882,0.8892
2019-04-02,0.8921,0.8939,0.8915,0.8922
2019-04-01,0.8909,0.8926,0.8887,0.8921
2019-03-31,0.8908,0.8910,0.8891,0.8908
2019-03-29,0.8903,0.8918,0.8891,0.8912
2019-03-28,0.8887,0.8917,0.8876,0.8904
2019-03-27,0.8864,0.8892,0.8858,0.8887
2019-03-26,0.8836,0.8880,0.8827,0.8866
2019-03-25,0.8850,0.8855,0.8823,0.8836
2019-03-24,0.8848,0.8860,0.8843,0.8850
2019-03-22,0.8787,0.8867,0.8776,0.8845
2019-03-21,0.8753,0.8813,0.8739,0.8787
2019-03-20,0.8805,0.8819,0.8734,0.8753
2019-03-19,0.8818,0.8821,0.8799,0.8805
2019-03-18,0.8826,0.8832,0.8800,0.8819
2019-03-17,0.8823,0.8835,0.8823,0.8826
2019-03-15,0.8842,0.8846,0.8813,0.8826
2019-03-14,0.8818,0.8851,0.8817,0.8843
2019-03-13,0.8855,0.8864,0.8817,0.8818
2019-03-12,0.8876,0.8886,0.8843,0.8855
2019-03-11,0.8899,0.8908,0.8868,0.8876
2019-03-10,0.8915,0.8932,0.8888,0.8899
2019-03-08,0.8933,0.8938,0.8890,0.8894
2019-03-07,0.8841,0.8944,0.8831,0.8933
2019-03-06,0.8847,0.8855,0.8828,0.8841
2019-03-05,0.8818,0.8855,0.8816,0.8847
2019-03-04,0.8786,0.8840,0.8785,0.8819
2019-03-03,0.8786,0.8790,0.8777,0.8787
2019-03-01,0.8792,0.8805,0.8764,0.8790
2019-02-28,0.8790,0.8800,0.8753,0.8792
2019-02-27,0.8776,0.8798,0.8768,0.8791
2019-02-26,0.8800,0.8811,0.8768,0.8775
2019-02-25,0.8818,0.8819,0.8788,0.8800
2019-02-24,0.8814,0.8822,0.8806,0.8819
