timestamp,open,high,low,close,volume
2019-10-04,174.1700,176.5200,168.5900,175.9800,48149844
2019-09-27,172.9000,177.2000,172.3600,174.0000,46272300
2019-09-20,176.1700,178.2600,172.8300,174.0600,39505700
2019-09-13,186.9200,187.0500,173.8100,177.2700,45511300
2019-09-06,180.5200,186.7100,179.1000,185.7400,23176500
2019-08-30,176.4100,182.1800,175.3500,180.8200,24918800
2019-08-23,180.4200,182.3300,174.2400,175.2300,26486300
2019-08-16,177.4400,178.9200,173.1600,178.2300,36365800
2019-08-09,172.0100,180.0936,166.9800,179.0500,48408900
2019-08-02,183.8900,184.0700,174.6900,177.4200,34521500
2019-07-26,179.6400,183.9900,179.0600,183.6900,31366500
2019-07-19,180.5600,181.8400,178.5800,179.2400,25350400
2019-07-12,176.3000,181.3500,175.3000,180.3300,30908500
2019-07-05,175.3300,177.0310,172.7400,176.6600,21267100
2019-06-28,174.6000,174.9400,170.3200,173.5500,36900800
2019-06-21,169.7300,174.8060,167.5500,173.4400,42905700
2019-06-14,171.8400,172.2000,168.4200,169.6600,32322100
2019-06-07,161.5400,171.6100,156.7500,170.0500,46756000
2019-05-31,163.4000,165.7700,160.5600,161.3300,26487900
2019-05-24,163.3500,165.6300,160.8200,162.6400,29503100
2019-05-17,157.1900,165.6040,156.4200,164.0900,41361700
2019-05-10,158.2100,162.6500,157.1700,160.7100,34308100
2019-05-03,163.2100,165.7400,160.4300,162.0400,32056800
2019-04-26,159.2000,163.0300,158.5500,162.9300,34889900
2019-04-18,159.8300,161.1050,159.0010,160.1600,26632700
2019-04-12,157.5499,159.6400,156.3200,159.6400,28403900
2019-04-05,157.5300,159.1100,156.5300,157.6500,30125400
2019-03-29,152.3604,156.2900,151.5400,156.1900,64482800
2019-03-22,155.9200,156.6820,152.7130,153.0700,40463800
2019-03-15,148.1100,156.8200,148.0200,155.4600,56662400
2019-03-08,150.0700,150.1900,144.5000,147.3500,38772600
2019-03-01,146.9148,149.9346,145.0200,149.4700,40061900
2019-02-22,144.4200,146.2840,143.1800,145.8700,31944000
2019-02-15,141.2600,144.9100,140.4500,144.9100,33425700
2019-02-08,139.7920,142.9450,138.5200,140.3800,43111300
2019-02-01,137.5100,140.3500,133.3000,140.1500,58737000
2019-01-25,137.9000,139.9000,136.1480,138.6700,28249200
2019-01-18,136.9900,138.8700,135.2500,138.5000,39648000
2019-01-11,134.4500,139.4800,134.0400,138.0600,50533600
2019-01-04,131.6733,134.5890,127.8755,133.6500,37255700
2018-12-28,122.0800,133.6042,121.6000,130.9400,40381500
2018-12-21,134.2100,135.8700,122.9500,124.2600,81917400
2018-12-14,136.2500,140.8800,134.5500,135.0900,56729900
2018-12-07,145.0000,145.7200,133.4800,137.1100,55674100
2018-11-30,134.6000,142.2600,134.1200,141.7100,48401900
2018-11-23,140.4700,140.5700,129.5400,132.8700,40065500
2018-11-16,143.4200,143.6400,137.9300,140.1800,41429000
2018-11-09,139.8000,145.4600,138.0700,143.9300,45782000
2018-11-02,139.6100,141.5100,129.7900,139.7800,74168200
2018-10-26,140.9662,141.5400,132.5000,137.7400,57706000
2018-10-19,139.9000,142.8600,137.2200,140.0800,47102600
2018-10-12,145.0100,145.0100,132.2600,140.0600,66535900
2018-10-05,150.8900,151.5600,144.4054,145.3600,41665300
2018-09-28,149.1600,150.6400,147.2732,150.0900,28694200
2018-09-21,147.8300,150.2600,145.8300,150.0500,43633800
2018-09-14,144.1300,148.3700,143.2100,147.8400,32954400
2018-09-07,146.9300,147.8600,142.5400,143.2000,42216900
2018-08-31,144.9900,147.7100,144.7100,146.8900,30904700
2018-08-24,141.5400,144.3800,139.8000,144.2000,25849000
2018-08-17,140.5300,141.7100,138.8400,141.3300,29625900
2018-08-10,139.6500,141.2400,139.0500,139.7300,32769200
2018-08-03,140.1300,140.4200,135.3100,139.8200,44500900
2018-07-27,140.6600,143.1400,139.2100,140.7100,41972000
2018-07-20,139.4200,141.4700,137.4200,140.9900,32481700
2018-07-13,134.9400,140.0300,134.7900,139.4200,45853100
2018-07-06,131.9600,134.2800,131.1500,134.0900,20745100
2018-06-29,134.9100,134.9100,129.5300,132.4500,38937700
2018-06-22,134.3700,136.6900,133.5700,135.3300,37184600
2018-06-15,134.9000,135.7700,133.5400,135.1000,35122200
2018-06-08,131.9400,136.5800,131.4300,134.7400,35012200
2018-06-01,130.3795,132.5100,129.0600,130.8500,40442600
2018-05-25,130.9500,132.2100,129.8000,131.2800,32327300
2018-05-18,132.4300,132.5000,129.0700,129.9300,26667900
2018-05-11,128.4000,132.0900,128.2500,131.8200,28924300
2018-05-04,126.7400,128.3600,125.3220,128.1600,35948800
2018-04-27,124.3000,127.5900,119.3730,126.0100,46628400
2018-04-20,122.1100,124.8711,121.5100,124.2000,32827300
2018-04-13,118.6300,122.4700,118.6300,120.7500,36687200
2018-04-06,119.2700,122.0100,116.7100,117.7000,40587400
2018-03-29,119.0900,121.6000,116.0300,119.6200,40082500
2018-03-23,123.9400,125.4400,116.7600,117.0000,53052800
2018-03-16,124.7500,125.0500,121.9000,124.5300,41279500
2018-03-09,120.4500,124.7900,119.4400,124.5100,33875300
2018-03-02,123.5800,125.3000,117.8600,120.7700,36740100
2018-02-23,121.3500,123.0500,119.6170,122.9300,23889800
2018-02-16,117.7900,122.9900,116.8808,121.8500,41829300
2018-02-09,118.7000,122.4600,111.0200,116.3200,75340100
2018-02-02,126.7400,126.8800,120.7000,120.9100,46857900
2018-01-26,122.8700,126.3800,122.4000,126.3200,34234800
2018-01-19,121.1800,123.6500,119.9100,122.7000,33521400
2018-01-12,118.6100,120.4770,117.4600,120.0900,32281300
2018-01-05,114.5700,119.0000,113.9500,118.8600,29422800
2017-12-29,112.0700,114.9200,112.0700,114.0200,23208100
2017-12-22,114.6900,114.7500,111.9900,112.6900,38119600
2017-12-15,112.5000,114.3700,112.0000,113.8200,50585500
2017-12-08,111.3300,112.6100,106.6000,112.6000,53502500
2017-12-01,112.0000,113.6200,106.9000,110.7300,59432300
2017-11-24,109.9500,112.1600,109.6900,111.9700,20442900
2017-11-17,111.5508,112.0400,109.7000,109.8200,34227800
2017-11-10,111.3600,112.9050,110.9300,111.8800,20587300
2017-11-03,109.6700,111.4200,108.6600,111.3600,28582600
2017-10-27,108.0500,110.7400,107.0950,109.7100,45332000
2017-10-20,108.7900,109.0500,106.9000,107.5500,35038000
2017-10-13,106.6000,109.2600,106.5400,108.6600,26926400
2017-10-06,105.5400,106.9600,104.8980,106.7300,22426600
2017-09-29,105.5000,105.6520,102.7500,105.2400,37620400
2017-09-22,105.3500,105.9300,104.4610,105.5600,35020300
2017-09-15,105.4800,106.8350,104.9500,105.3000,39161000
2017-09-08,103.4000,105.4400,102.2600,104.4300,25005500
2017-09-01,103.6500,104.1900,102.6392,103.9000,38000700
2017-08-25,102.6200,104.2000,102.3300,103.3500,24482900
2017-08-18,100.9800,103.9300,100.7500,102.5100,37459800
2017-08-11,100.9200,101.7150,99.4302,100.0900,34061900
2017-08-04,99.5000,101.3400,99.1400,100.8900,29865800
2017-07-28,99.5500,101.1816,98.5100,99.1500,40269000
2017-07-21,97.1100,100.4900,96.5900,99.6000,45713400
2017-07-14,94.1562,97.3700,94.1500,96.9300,33298200
2017-07-07,94.3800,94.4100,93.1900,93.9200,29928800
2017-06-30,95.8000,96.4000,93.7800,93.7800,36734800
2017-06-23,94.7555,95.6500,93.8710,95.5800,34706200
2017-06-16,93.6900,96.0000,92.8000,94.1700,58156100
2017-06-09,96.3200,96.6000,93.7100,94.5600,52768600
2017-06-02,94.6600,96.1900,94.3400,96.1500,33640800
2017-05-26,92.5300,95.3800,92.4300,94.6700,35023900
2017-05-19,92.7300,93.7250,91.3607,92.4800,38378800
2017-05-12,92.0500,92.7800,91.5200,92.7300,28891700
2017-05-05,91.2900,92.9800,91.1400,92.0900,39680300
2017-04-28,92.1500,92.5000,90.9800,91.2200,43499900
2017-04-21,89.0858,92.8000,88.7500,91.1500,51868500
2017-04-13,88.6200,89.7750,88.1300,88.8700,26213100
2017-04-07,89.1400,90.2000,88.4000,88.7400,35150700
2017-03-31,88.3100,89.4200,88.0700,88.8700,29670400
2017-03-24,90.2900,92.0500,87.8500,89.1900,43667000
2017-03-17,89.8000,90.6300,89.2400,90.2400,39092000
2017-03-10,88.5300,89.8596,88.2700,89.7300,37103400
2017-03-03,88.3200,89.1400,87.7550,88.7900,42029700
2017-02-24,87.5100,88.4900,87.1700,88.4300,28883000
2017-02-17,86.2000,87.6800,86.0000,87.4600,34578600
2017-02-10,86.0700,86.3500,84.8800,85.9000,42840000
2017-02-03,83.4700,86.8200,81.5700,86.0800,63028500
2017-01-27,81.7000,84.2700,81.5000,83.7700,39046700
2017-01-20,80.7600,82.2800,80.7600,81.8400,30357700
2017-01-13,82.2800,82.4500,80.5100,81.1700,34976000
2017-01-06,78.7600,82.4900,78.4900,82.2100,38521700
2016-12-30,78.2700,78.8480,77.9350,78.0200,24506700
2016-12-23,78.0400,78.6000,77.1900,78.1500,43223800
2016-12-16,78.9900,80.3900,77.9150,78.3500,78023600
2016-12-09,76.6300,79.9361,76.5500,79.1400,63984000
2016-12-02,79.6600,80.0100,75.1700,75.7200,70404800
2016-11-25,81.2300,81.7800,78.9500,80.1300,46374300
2016-11-18,82.0200,82.2200,77.3000,80.8200,66064200
2016-11-11,81.6400,83.9600,81.2200,81.8800,51076600
2016-11-04,82.4400,82.9000,80.3250,80.3600,45227600
2016-10-28,83.2700,83.5900,81.4100,82.2200,58060100
2016-10-21,82.5800,83.1000,81.3500,82.3500,43524200
2016-10-14,83.1365,83.5400,81.1100,82.4500,31001100
2016-10-07,82.4224,83.7000,82.3000,82.8800,36016000
2016-09-30,82.1500,83.0600,81.4981,82.7000,40092800
2016-09-23,82.4300,83.7900,82.2240,82.5400,37230900
2016-09-16,81.3400,83.1300,81.1840,82.0700,51998800
2016-09-09,82.0000,83.6260,81.3300,81.3300,36890900
2016-09-02,80.5400,82.1450,80.5400,82.0000,28873400
2016-08-26,80.3400,81.7611,79.9600,80.5700,36696200
2016-08-19,80.1300,81.1500,79.7400,80.4700,33063100
2016-08-12,80.2300,80.4800,79.5070,80.0200,26461100
2016-08-05,78.3100,80.2400,77.7300,80.1400,36696100
2016-07-29,80.1700,80.1700,77.5300,78.0500,44325600
2016-07-22,78.3500,80.0800,77.6300,79.9100,43732200
2016-07-15,76.8100,78.7500,76.3910,78.3000,39751400
2016-07-08,74.2500,76.5500,73.8300,76.4200,42067200
2016-07-01,74.1853,77.1400,73.2500,74.4800,82010400
2016-06-24,78.3000,78.3800,74.4500,75.0500,60726400
2016-06-17,79.0000,80.1800,76.8300,76.9900,49993300
2016-06-10,80.2900,81.7100,79.8400,80.1800,36527500
2016-06-03,79.8600,80.2000,78.5700,79.9400,26395100
2016-05-27,77.7600,79.6700,77.1400,79.6600,27941200
2016-05-20,77.0200,78.0550,76.2200,77.6700,33910600
2016-05-13,77.6900,79.3300,76.8300,76.8300,39511700
2016-05-06,77.8100,78.4700,76.3500,77.7200,36111800
2016-04-29,78.6900,79.2700,76.8600,77.2400,39991100
2016-04-22,80.2056,81.7300,77.2800,79.1100,52324400
2016-04-15,78.3600,80.6900,77.6500,80.0800,39734300
2016-04-08,77.9700,78.6200,76.5850,78.0300,31993700
2016-04-01,74.1400,78.2479,73.7200,77.5900,44997500
2016-03-24,73.5800,74.1690,72.7700,74.1400,27785200
2016-03-18,71.6000,74.1000,70.6600,73.7800,44359000
2016-03-11,73.3900,73.4534,69.5811,71.6300,57857200
2016-03-04,72.8600,74.6400,72.3900,73.9000,38284700
2016-02-26,72.3000,73.9100,70.3800,72.7300,34939900
2016-02-19,71.4100,72.2500,70.3000,71.5300,31963800
2016-02-12,69.9500,71.0300,66.1200,70.4200,79454500
2016-02-05,74.0800,74.7800,70.5500,71.5400,59686200
2016-01-29,72.7600,74.5000,68.7600,74.4900,81368700
2016-01-22,72.9390,73.1831,69.0400,72.7000,53179400
2016-01-15,73.1100,75.3900,70.6600,71.8300,64817100
2016-01-08,76.0600,76.5100,72.7500,72.8800,60989900
2015-12-31,78.0400,79.3900,77.5500,77.5500,19041800
2015-12-24,76.9000,78.7100,76.4000,78.2600,22640600
2015-12-18,76.2000,80.2800,75.5800,76.3200,55925400
2015-12-11,80.1300,80.4900,75.5200,76.1100,66288400
2015-12-04,80.0600,80.4000,78.0800,80.4000,41520900
2015-11-27,80.5900,80.7800,79.2100,79.8400,19359600
2015-11-20,77.7900,81.0100,77.5800,80.1900,34806500
2015-11-13,78.4000,80.2500,77.2900,78.1100,45475000
2015-11-06,75.1900,79.7100,74.5300,78.7500,75092000
2015-10-30,78.0800,78.8900,77.0550,77.5800,47190800
2015-10-23,75.9300,77.6300,74.9500,77.0700,46252200
2015-10-16,73.7400,76.5400,73.6700,76.0000,36567600
2015-10-09,71.0600,74.0900,70.9200,73.9800,30939100
2015-10-02,70.1900,70.7700,67.0300,70.6700,59650700
2015-09-25,70.6200,71.4600,69.3100,70.6900,50969600
2015-09-18,70.7200,72.3200,69.5100,69.7900,44187600
2015-09-11,70.7445,71.3750,69.4300,70.7600,30619600
2015-09-04,71.9100,72.0850,68.5000,69.1600,47452500
2015-08-28,64.1600,72.6650,60.0000,72.4600,63189200
2015-08-21,74.0000,74.9600,70.9600,71.1900,43520400
2015-08-14,74.8900,75.1800,72.3900,74.2200,29972900
2015-08-07,75.5900,76.1700,73.3200,74.2100,33997500
2015-07-31,74.2800,76.7600,73.5820,75.3400,49128300
2015-07-24,71.2900,76.9200,71.2000,74.8000,59373100
2015-07-17,69.0500,70.9600,68.8300,70.8800,29774000
2015-07-10,67.5500,68.5400,66.5300,68.4200,27692800
2015-07-02,67.9900,68.4900,66.6900,68.2400,27831500
2015-06-26,69.3200,69.5900,68.4100,68.7500,25801700
2015-06-19,68.7200,69.8400,68.1700,68.6900,36076400
2015-06-12,68.1900,70.0200,67.5280,69.3300,26220600
2015-06-05,69.1300,69.5000,68.0000,68.3700,26546300
2015-05-29,69.3100,69.7800,68.3100,68.6800,23703100
2015-05-22,69.7400,70.5630,69.1300,69.6200,25770400
2015-05-15,69.3000,70.6900,67.9700,69.5700,37178600
2015-05-08,66.0500,70.1600,65.2300,69.4700,47630100
2015-05-01,68.3900,68.6100,65.1500,65.7700,45155700
2015-04-24,65.0000,69.9800,64.5800,67.4800,49892300
2015-04-17,66.2200,66.8000,64.3500,64.5200,31348600
2015-04-10,64.7300,66.8400,64.4100,66.3400,31653200
2015-04-02,66.0192,66.3200,64.4527,65.2900,31346700
2015-03-27,68.0300,68.2100,65.0200,65.5400,43655400
2015-03-20,266.8900,270.0500,65.7500,67.4100,48572400
2015-03-13,270.5200,272.2100,263.0500,265.0300,13534400
2015-03-06,276.7100,278.6500,269.2500,269.3400,11700100
2015-02-27,272.9600,274.5000,270.2500,271.3100,10991900
2015-02-20,271.4800,273.0000,267.0600,273.0000,6978200
2015-02-13,267.4202,272.7500,263.6270,269.6300,11536100
2015-02-06,256.3267,272.4500,249.7000,267.4200,19656700
2015-01-30,256.9400,263.6180,245.1700,254.9100,17207700
2015-01-23,256.2200,260.6500,253.3700,258.2900,10596400
2015-01-16,261.0400,265.8100,251.5000,254.9500,12644300
2015-01-09,263.4900,265.1200,254.8550,260.5300,13530100
2015-01-02,266.4800,267.7000,262.1800,265.0200,13649500
2014-12-26,262.4200,269.3200,262.0300,266.6200,21223200
2014-12-19,258.1700,264.5800,252.3500,261.6700,60471600
2014-12-12,263.5000,265.6300,256.7800,256.7800,60033200
2014-12-05,256.2700,263.4900,256.2700,263.3500,44043200
2014-11-28,255.0000,259.5000,253.6000,258.1900,36855200
2014-11-21,248.5800,256.5600,247.1900,254.2200,42757600
2014-11-14,251.9800,252.4000,248.1600,248.8400,53516000
2014-11-07,240.9800,252.4300,239.0000,252.4300,74019600
2014-10-31,213.0600,242.5000,212.2100,241.4300,109065200
2014-10-24,205.5292,215.9000,205.1400,213.4800,52281600
2014-10-17,204.5000,207.7500,195.1900,206.0000,74232000
2014-10-10,212.5900,213.1500,204.9800,204.9800,54666800
2014-10-03,210.2100,214.0230,207.8000,211.9900,53303200
2014-09-26,216.9800,216.9800,210.4210,211.9400,44278000
2014-09-19,213.8500,218.1500,213.6500,216.2500,58260000
2014-09-12,214.0100,218.6500,212.7500,214.0400,47814000
2014-09-05,213.4100,216.1600,212.7100,214.2100,33550000
2014-08-29,217.2000,218.0000,212.1000,212.5200,45671600
2014-08-22,211.4900,216.9700,211.2700,216.0900,36551200
2014-08-15,211.0400,213.3200,209.4500,210.1900,38048000
2014-08-08,212.8500,213.1700,208.2100,210.4600,45584000
2014-08-01,214.4200,215.7100,209.7800,211.8100,59375600
2014-07-25,219.5300,223.8500,211.3406,214.7700,61534800
2014-07-18,218.7500,224.7500,217.6500,220.2000,54344400
2014-07-11,216.4300,217.5500,212.6760,217.0000,38172400
2014-07-03,208.6600,217.0000,208.5000,216.5100,32295600
2014-06-27,209.0000,210.5900,207.3100,209.2800,57641200
2014-06-20,210.8800,212.1600,208.0200,209.4900,57637600
2014-06-13,213.4900,214.7800,210.8500,211.2900,32413200
2014-06-06,215.3700,215.6900,209.4500,213.0000,44565200
2014-05-30,212.9900,215.9500,212.8200,214.8300,28296800
2014-05-23,209.3639,212.2700,207.4000,212.0700,52863600
2014-05-16,211.0800,212.6941,206.4200,209.8100,47673200
2014-05-09,203.7500,212.1000,203.0000,210.8100,65807200
2014-05-02,199.5014,207.3100,199.0100,204.4200,74350800
2014-04-25,208.9800,210.5800,198.5600,198.9300,80458400
2014-04-17,199.8000,211.5400,198.0100,207.9500,69336400
2014-04-11,206.7800,209.0700,194.8400,196.6300,131355600
2014-04-04,212.7900,218.1461,205.7500,207.7000,68734000
2014-03-28,225.3900,226.2300,210.5200,212.0900,66000400
2014-03-21,221.9900,232.6700,219.7000,223.3700,74976000
2014-03-14,225.5100,228.3900,218.5600,220.7700,53496400
2014-03-07,223.2332,226.0700,219.5900,225.5600,60727600
2014-02-28,223.7300,228.4300,220.7000,225.9400,54672000
2014-02-21,226.4800,228.4800,222.5900,223.3600,40695200
2014-02-14,221.8899,226.2400,219.9900,226.0000,60618000
2014-02-07,216.5100,222.0000,211.3800,221.7800,75355600
2014-01-31,222.0700,226.0000,215.1090,215.4300,98620800
2014-01-24,234.3900,235.5000,221.2532,221.2500,56712400
2014-01-17,222.0200,232.2572,218.3300,232.1800,87552400
2014-01-10,221.1800,224.5200,219.5900,221.1300,40058800
2014-01-03,220.5900,222.7200,219.5000,221.1600,30852000
2013-12-27,216.9900,221.4000,216.5500,219.6700,23343200
2013-12-20,208.0400,218.2000,207.2900,215.9700,88227200
2013-12-13,201.7750,208.0000,199.4300,207.3600,97786000
2013-12-06,204.1000,206.4900,199.9300,201.8700,59900800
2013-11-29,202.5200,205.0700,201.2974,203.4600,28066800
2013-11-22,202.0000,202.7100,196.8200,202.1200,61968000
2013-11-15,198.6400,202.5400,196.5000,202.0000,48884400
2013-11-08,199.6800,200.3600,195.0000,198.2900,53320800
2013-11-01,203.5700,205.2577,194.2600,199.1600,64669200
2013-10-25,201.0500,203.9000,197.1800,203.0600,51105200
2013-10-18,190.3700,200.9900,190.0200,200.4500,56865200
2013-10-11,187.9612,192.2000,180.1100,192.2000,64053600
2013-10-04,190.8000,193.6100,187.7400,190.4800,56670400
2013-09-27,197.9600,200.8600,190.6800,193.0500,62027600
2013-09-20,190.9600,198.8300,188.5550,198.8300,104930000
2013-09-13,177.2800,189.3000,177.2800,189.0000,71930400
2013-09-06,176.0300,178.4000,175.0500,176.6700,36407600
2013-08-30,179.4600,179.4600,172.5700,174.4200,61514800
2013-08-23,172.3300,181.5000,172.2100,179.1000,77441600
2013-08-16,179.4000,181.4900,172.3600,173.1300,70269200
2013-08-09,184.0000,185.1400,179.5600,179.8100,66678000
2013-08-02,192.8600,194.9000,170.9900,184.0000,205746800
2013-07-26,190.2100,196.0000,185.6600,193.2000,64267200
2013-07-19,191.5000,191.9900,188.1400,189.9200,48149200
2013-07-12,191.6000,192.7700,185.8100,190.7200,80459600
2013-07-05,183.9000,190.8600,183.6300,190.7900,33394000
2013-06-28,178.1100,185.0000,175.6800,182.7500,62400800
2013-06-21,182.3200,185.2300,178.4600,179.5000,68036400
2013-06-14,180.5400,183.1400,178.7100,180.9300,48818000
2013-06-07,178.7500,181.7500,176.4000,179.9400,69501600
2013-05-31,182.4400,182.5400,178.0700,178.1400,39570000
2013-05-24,183.9100,184.8979,176.9000,180.4500,83390400
2013-05-17,178.5800,184.5800,178.1300,184.5700,65341600
2013-05-10,179.3358,180.7660,177.2200,178.7500,64748400
2013-05-03,167.7300,180.8400,163.6000,179.5400,80812000
2013-04-26,163.5700,170.4800,162.4900,167.2300,34624800
2013-04-19,164.6178,164.8800,161.2700,163.9600,59040800
2013-04-12,165.6366,167.9000,164.0100,165.7500,34793200
2013-04-05,169.7500,170.9870,163.5900,165.1600,56308000
2013-03-28,160.7500,170.9600,160.4986,169.8400,62429200
2013-03-22,157.2800,160.1600,155.6800,160.0900,82559200
2013-03-15,161.3700,161.5975,158.5300,158.5500,58557600
2013-03-08,157.7613,161.7800,157.5500,160.6700,42612400
2013-03-01,159.2000,160.3500,155.8900,158.0800,55295200
2013-02-22,158.0100,159.5800,154.7900,159.4300,54857600
2013-02-15,157.5800,158.1700,154.1400,157.9900,65400000
2013-02-08,157.7700,160.8800,156.5600,157.8000,69790800
2013-02-01,160.2800,160.5800,154.7561,158.5600,73328000
2013-01-25,158.6800,160.1700,157.7930,159.8400,27522400
2013-01-18,161.2800,161.8004,156.5000,158.2700,42684000
2013-01-11,156.9400,162.7700,156.8000,161.1600,65487200
2013-01-04,148.3500,158.0800,148.3500,156.7700,54007600
2012-12-28,150.2300,151.6200,147.9000,148.6500,29836800
2012-12-21,146.9700,152.5100,146.9000,150.7700,59206800
2012-12-14,148.7500,150.3300,146.2500,146.8200,64723200
2012-12-07,150.0000,150.7200,146.1000,148.5500,49490000
2012-11-30,147.6100,149.9300,145.8900,149.7100,55584400
2012-11-23,144.0000,148.1200,143.6600,148.1200,35706400
2012-11-16,142.0200,144.7900,138.5300,142.7100,63050800
2012-11-09,142.7409,144.8400,140.2800,142.9300,55317600
