timestamp,open,high,low,close,volume
2020-04-30,189.9800,199.7000,188.1700,197.2500,279337290
2020-04-24,190.6000,192.5000,183.6500,188.9100,349983010
2020-04-17,202.0000,202.8500,183.5300,191.8000,400571730
2020-04-10,187.5200,205.4400,186.4200,201.9900,443007450
2020-04-03,177.0000,189.9000,174.9000,185.6400,503685070
2020-03-27,188.0000,201.0000,180.1700,180.3800,676631910
2020-03-20,194.6758,204.7800,172.1500,195.6900,697399814
2020-03-13,197.9900,212.7400,173.1400,198.6000,843856990
2020-03-06,238.9300,241.0000,216.6700,219.9900,401445320
2020-02-28,247.9800,251.2100,231.0000,233.3600,291687340
2020-02-21,252.5000,253.1000,247.2400,250.8000,147074510
2020-02-14,254.5500,259.7700,251.4000,251.7500,233947150
2020-02-07,251.8000,258.0000,248.7300,254.3000,247114250
2020-01-31,261.0000,262.1000,252.1700,252.2000,219329610
2020-01-24,263.2000,270.8000,261.8000,265.4900,180107570
2020-01-17,258.3000,263.2200,254.2100,262.5000,191504600
2020-01-10,253.5500,261.7600,251.4000,258.1900,120345952
2020-01-03,255.9900,258.1900,253.7000,255.0000,35851840
2019-12-30,252.1000,256.0000,250.7300,254.7500,43157360
2019-12-27,244.7100,252.9500,244.0700,252.0600,97951953
2019-12-20,242.4800,248.4000,240.1300,244.7100,208140705
2019-12-13,235.5000,243.2500,234.3000,241.2100,181379200
2019-12-06,234.5900,236.3700,229.0300,235.1400,135716710
2019-11-29,238.6800,239.7500,231.9700,233.9800,143925930
2019-11-22,240.5700,241.2300,235.8000,238.1300,148422890
2019-11-15,239.0000,243.7400,235.8100,240.0000,159135800
2019-11-08,239.6000,242.9500,236.5200,240.1700,152363787
2019-11-01,240.5000,242.3300,232.8000,236.4000,223686730
2019-10-25,236.0000,242.7800,234.0400,240.0000,193585605
2019-10-18,230.2900,236.0300,227.0000,235.5500,179835100
2019-10-11,223.1300,231.2000,222.4100,230.3100,180103460
2019-10-04,228.5000,229.5600,221.8700,222.7600,173139040
2019-09-27,231.7000,232.1700,225.3000,228.0500,160386850
2019-09-20,235.0000,237.2000,230.7200,232.0000,201026000
2019-09-13,229.8800,235.9000,227.1000,233.0000,187207030
2019-09-06,224.1000,231.2000,222.0500,229.0200,218009050
2019-08-30,217.5000,225.2000,215.6100,224.2000,210987040
2019-08-23,217.0000,223.1000,214.0600,219.5000,218294470
2019-08-16,222.3800,225.7200,212.8800,215.0500,234320330
2019-08-09,219.7200,227.6000,219.4500,220.6700,210418190
2019-08-02,230.7500,237.5500,220.3000,220.8100,254907911
2019-07-26,233.0000,234.6500,228.5200,230.5500,160675280
2019-07-19,237.9000,238.5900,232.2500,232.8500,172586260
2019-07-12,242.1300,245.5000,236.3700,237.0200,177458150
2019-07-05,240.9800,243.9000,239.7000,242.8300,165261130
2019-06-28,239.0600,242.4400,234.2000,238.5500,187563350
2019-06-21,239.0000,244.9900,236.3600,238.0200,241969560
2019-06-14,249.5500,250.6500,232.5500,238.8000,256304388
2019-06-07,231.1800,249.0000,230.3500,248.2800,329826130
2019-05-31,235.2800,237.4700,229.2100,233.2400,243682380
2019-05-24,228.2300,237.4000,225.1000,234.4500,266139430
2019-05-17,226.5100,231.4500,224.1500,226.9400,234177370
2019-05-10,228.7500,234.3400,226.1100,227.0000,181713000
2019-05-03,223.7000,233.0000,223.0500,232.5200,196467050
2019-04-26,233.7000,237.5600,222.0800,223.1800,339713050
2019-04-19,240.3500,242.3000,230.8400,232.6000,272588190
2019-04-12,227.9300,247.2300,227.9000,238.3900,487532760
2019-04-05,215.0500,227.0000,215.0100,226.9600,298322190
2019-03-29,206.6300,219.2500,205.5500,214.9200,353064570
2019-03-22,204.2500,212.2900,204.1100,207.7000,242665380
2019-03-15,203.2000,206.8900,202.5600,204.1900,165707210
2019-03-07,207.0000,207.5000,202.2500,203.9500,177103990
2019-03-01,205.5000,209.0000,202.9000,206.5400,284351400
2019-02-22,208.8300,209.7300,201.1000,205.2500,324104170
2019-02-15,211.0000,220.7000,201.7000,208.0000,443654570
2019-02-08,216.2500,218.5500,208.7000,210.4300,254819520
2019-02-01,212.0000,218.7000,206.9100,216.2900,315677210
2019-01-25,208.9100,214.1400,205.6300,212.0000,324031980
2019-01-18,195.7000,208.4400,194.0000,208.4400,294785180
2019-01-11,191.6500,198.9600,190.3700,196.8000,229754300
2019-01-04,186.3700,191.5000,186.0000,190.9900,72832550
2018-12-28,186.1000,187.4000,179.0400,186.5000,184808110
2018-12-21,184.6300,191.8200,180.3700,186.7900,350928790
2018-12-14,192.7500,193.9200,183.7300,184.9300,284500979
2018-12-07,197.9900,201.9000,190.1100,195.0100,318162900
2018-11-30,197.5000,197.7900,185.5300,194.0000,416256950
2018-11-23,198.9800,200.7000,191.8100,197.3000,276142380
2018-11-16,197.9700,203.5000,193.1800,199.2600,372883193
2018-11-09,194.5000,204.7000,193.7300,195.7500,355374161
2018-11-02,180.6000,192.9800,178.6400,192.6000,336400754
2018-10-26,184.8600,189.2500,177.0200,179.4800,440008530
2018-10-19,192.5000,198.8000,183.8000,183.8000,343654982
2018-10-12,187.0000,196.0400,182.3000,191.8500,424419412
2018-10-05,204.5000,205.9800,185.0500,187.2000,401428942
2018-09-28,194.6000,205.6700,193.5900,203.3200,431221077
2018-09-21,190.0000,197.7300,186.5100,193.4400,453879154
2018-09-14,175.0300,189.0400,165.9000,188.7100,587404911
2018-09-07,181.7200,182.8700,173.8500,174.9000,250527669
2018-08-31,181.4700,185.5700,175.6100,182.0000,270716855
2018-08-24,190.9900,193.9900,172.8000,180.3900,437100710
2018-08-17,182.0500,195.9800,180.1500,189.5500,367106703
2018-08-10,201.8000,207.9500,182.0600,186.1500,529288582
2018-08-03,207.7700,215.2000,202.0000,202.2100,263581348
2018-07-27,205.4000,216.5100,205.2500,208.9000,304669824
2018-07-20,230.1000,231.0000,201.1000,204.3400,373546661
2018-07-13,228.5000,232.2500,224.8000,229.5000,224078782
2018-07-06,217.0100,227.5900,216.0000,226.7100,218757558
2018-06-29,204.5000,218.3000,198.5500,218.0000,311827139
2018-06-22,209.0000,214.5000,202.1100,214.4800,291584991
2018-06-15,212.5000,217.4900,207.9000,209.3600,205882022
2018-06-08,221.1300,222.6700,210.2500,211.1300,209623001
2018-06-01,219.4700,224.3500,217.1000,220.0000,203079014
2018-05-25,223.7900,227.2700,219.0000,220.7600,210896318
2018-05-18,236.2100,237.8000,222.8000,223.1300,243581819
2018-05-11,230.1700,237.9500,224.5000,235.5700,217975775
2018-05-04,224.5000,232.7400,221.5800,228.5500,201183778
2018-04-27,216.4800,228.4300,213.2200,223.9100,425803570
2018-04-20,199.3600,222.2200,191.5000,213.8400,729426335
2018-04-13,255.0500,255.3000,197.0000,204.7000,908486527
2018-04-06,253.5800,262.8900,245.3800,256.5400,231503432
2018-03-30,262.0000,264.8700,250.7500,253.5700,183844421
2018-03-23,257.8000,271.8000,250.0100,262.0000,271373048
2018-03-16,276.0500,277.3000,249.7600,256.1500,284439208
2018-03-09,273.7000,281.5000,270.1500,274.7100,149235141
2018-03-02,279.0000,285.0000,268.5600,273.0000,234842549
2018-02-22,267.0000,279.5000,264.7200,277.3900,165723331
2018-02-16,253.0000,268.7700,251.6700,266.9900,258832655
2018-02-09,254.8500,264.3700,244.1300,250.1100,304734631
2018-02-02,247.5000,270.3000,246.0000,257.3200,316215213
2018-01-26,242.9700,251.6500,241.4100,247.0000,146507817
2018-01-19,239.0000,246.6900,236.0100,242.4500,184832862
2018-01-12,239.0300,243.7600,235.2100,237.7500,166507915
2018-01-05,226.8800,239.9500,226.3500,238.6000,119727539
2017-12-29,222.2200,227.2000,221.0000,225.2000,96587046
2017-12-22,227.4900,228.9000,221.1200,221.4400,149986592
2017-12-15,221.4000,230.5000,220.5400,226.5300,234018810
2017-12-08,222.0000,226.0000,219.2300,220.8900,162731285
2017-12-01,228.4000,231.5000,220.7600,221.5000,185375425
2017-11-24,225.7000,233.9500,222.1500,228.0000,227776648
2017-11-17,217.7000,228.5800,215.7800,225.6500,292893497
2017-11-10,196.5000,229.4000,195.5600,217.7000,483713375
2017-11-03,196.3200,197.7000,192.3800,193.8000,162238985
2017-10-27,193.4100,196.1800,190.1300,196.0500,159949860
2017-10-20,197.5300,198.5200,191.8100,192.9700,166128947
2017-10-13,194.2000,197.2900,192.5800,196.4800,168899849
2017-10-06,192.7600,196.4200,189.0600,194.1600,193015674
2017-09-29,187.3700,195.0000,186.3700,192.3300,266726973
2017-09-22,189.5600,190.3700,182.6500,187.5500,199946449
2017-09-15,186.7000,192.3100,186.0000,188.7500,242866601
2017-09-08,181.5100,187.4300,180.9300,185.8900,199937463
2017-09-01,180.6000,186.3300,179.2000,183.6600,221268255
2017-08-25,169.7700,182.2500,168.5000,180.5100,277435891
2017-08-18,173.0000,175.3000,168.1300,169.5000,181556733
2017-08-11,170.4700,175.8800,168.6400,172.0500,225919837
2017-08-04,165.5300,170.9800,163.8800,169.7300,250000514
2017-07-28,161.2100,166.0000,158.6000,165.4000,248807695
2017-07-21,161.8000,164.9100,159.8200,162.1000,210131747
2017-07-14,153.0700,162.6200,152.9500,161.4000,306697126
2017-07-07,146.6500,152.5000,146.2200,152.1600,235485910
2017-06-30,144.8500,147.2000,142.8800,145.5900,259253389
2017-06-23,142.5000,147.1000,141.7800,144.1000,258972661
2017-06-16,145.3500,147.3000,136.2000,141.6300,374636098
2017-06-09,157.1000,158.8900,148.2500,150.1300,240238197
2017-06-02,161.0000,164.2200,151.6200,157.1400,241816498
2017-05-26,170.5000,170.5000,160.6200,160.7000,196509396
2017-05-19,168.5000,172.0000,164.7000,168.8700,213558986
