timestamp,open,high,low,close,volume
2019-10-25,187.0400,190.6500,181.5000,187.8900,58353373
2019-10-18,184.2000,191.4900,182.5700,185.8500,59039200
2019-10-11,180.0000,186.4900,177.7200,184.1900,49737600
2019-10-04,177.8700,180.9800,173.0900,180.4500,70481200
2019-09-27,189.3400,190.1000,175.6600,177.1000,80682000
2019-09-20,186.9300,193.1000,185.5400,189.9300,58124700
2019-09-13,187.7300,190.9300,184.5500,187.1900,64800900
2019-09-06,184.0000,191.3600,182.1100,187.4900,50190900
2019-08-30,179.4000,186.8000,178.2400,185.6700,53462500
2019-08-23,186.0100,187.5000,176.6600,177.7500,56317600
2019-08-16,186.8500,191.3800,179.3100,183.7000,68997500
2019-08-09,184.6900,190.9653,179.3400,187.8500,82843300
2019-08-02,199.0000,199.6300,188.0700,189.0200,76101900
2019-07-26,199.9100,208.6749,196.2500,199.7500,125029100
2019-07-19,204.2500,205.4700,198.0700,198.3600,64282900
2019-07-12,195.1900,205.3000,193.6400,204.8700,74039000
2019-07-05,195.2100,197.4000,191.9300,196.4000,44642000
2019-06-28,192.4091,193.9800,187.3100,193.0000,72605800
2019-06-21,185.0143,194.5300,184.4110,191.1400,125835300
2019-06-14,174.7500,181.8400,172.8800,181.3300,76761600
2019-06-07,175.0000,175.0500,160.8316,173.3500,151225900
2019-05-31,181.5400,184.7128,177.1600,177.4700,51449000
2019-05-24,181.8800,186.7400,179.6700,181.0600,48645100
2019-05-17,183.5000,188.5750,178.1000,185.3000,74646800
2019-05-10,191.2400,194.2800,184.5900,188.3400,68299100
2019-05-03,190.9500,197.3900,189.7500,195.4700,86917500
2019-04-26,178.2500,198.4800,178.2500,191.4900,146858400
2019-04-18,178.5000,180.7400,176.8700,178.2800,43679300
2019-04-12,175.2100,179.6247,174.2300,179.1000,59150700
2019-04-05,167.8300,178.0000,167.2790,175.7200,89160900
2019-03-29,163.0000,169.4500,162.0000,166.6900,62587900
2019-03-22,163.5700,167.4200,159.2800,164.3400,115959400
2019-03-15,171.6000,174.3000,162.5100,165.9800,98185400
2019-03-08,163.8933,173.5700,163.8300,169.6000,100105600
2019-03-01,163.0700,166.2400,160.4100,162.2800,67430700
2019-02-22,160.5000,164.1500,159.5900,161.8900,57582400
2019-02-15,167.9000,168.3400,160.8600,162.5000,71568200
2019-02-08,165.7000,172.4700,163.6200,167.3300,85953200
2019-02-01,148.0500,171.6800,143.4300,165.7100,185793900
2019-01-25,149.2000,151.5300,142.5200,149.0100,85669800
2019-01-18,142.0000,152.4300,141.2845,150.0400,109432500
2019-01-11,137.5600,145.3600,135.9100,143.8000,97592000
2019-01-04,134.4500,138.0000,128.5630,137.9500,104491500
2018-12-28,123.1000,135.9200,123.0200,133.2000,115619500
2018-12-21,143.0800,145.9300,123.4200,124.9500,203647400
2018-12-14,139.6000,147.1900,139.0100,144.0600,110353800
2018-12-07,143.0000,143.6800,133.6700,137.4200,104540200
2018-11-30,133.0000,140.9660,131.8500,140.6100,124832700
2018-11-23,137.6100,137.7500,126.8500,131.7300,123658000
2018-11-16,144.4800,145.5800,137.7700,139.5300,123323100
2018-11-09,150.1000,153.0100,144.0700,144.9600,95988400
2018-11-02,148.5000,156.4000,139.0300,150.3500,192315900
2018-10-26,154.7600,157.3400,143.8000,145.3700,115673300
2018-10-19,153.3200,160.4900,152.5500,154.0500,93642000
2018-10-12,155.5400,160.5900,149.1600,153.7400,134132800
2018-10-05,163.0300,165.8800,156.2000,157.3300,137031800
2018-09-28,161.0300,171.7700,160.8800,164.4600,133630300
2018-09-21,161.9200,167.2500,158.8660,162.9300,128030300
2018-09-14,163.5100,167.1900,160.3400,162.3200,111957100
2018-09-07,173.5000,173.8900,160.0000,163.0400,126851100
